match_id,is_home,opponent,our_score,opponent_score,motm_first_name,motm_last_name,manager,event_id,match_time,minutes_played,result
0xa086f88b9e548aef,False,UZB VOLK,3,3,Cristiano,Ronaldo,MIRKOMILBEK UZB,0,1729099250,94,Beraberlik
0xa086f88b9e53f76b,True,Dream FC,2,0,Cristiano,Ronaldo,MANAGER,0,1729098934,73,Galibiyet
0xa086f88b9e3ceb0c,False,FC BAYERN MUNCHEN,2,1,Cristiano,Ronaldo,ERDUAN,0,1729086091,94,Galibiyet
0xa086f88b9e3c41b1,False,FC AFGHAN HAZARA,0,1,Marc-Andre,Ter Stegen,MOHAMMAD,0,1729085684,93,Mağlubiyet
0xa086f88b9e3bdd6b,True,MOROCOO,0,2,Cristiano,Ronaldo,WALID REGRAGUI,0,1729085438,53,Mağlubiyet
0xa086f88b9de9d9db,True,BEITAR J FC,2,2,Vinícius,Júnior,ORI ABU,0,1729014780,91,Beraberlik
0xa086f88b9de92fb7,True,FC NASAF,4,1,Dominik,Szoboszlai,SUHROB,0,1729014389,93,Galibiyet
0xa086f88b9dd8cc24,True,30MDA,5,1,Vinícius,Júnior,AHMED FALESTINY,0,1729005315,83,Galibiyet
0xa086f88b9dd6b1c6,False,TUZLA SPOR,0,3,Vinícius,Júnior,HUSEYIN,2,1729004166,92,Mağlubiyet
0xa086f88b9dd6003c,False,TUZLA SPOR,0,3,Cristiano,Ronaldo,HUSEYIN,2,1729003788,92,Mağlubiyet
0xa086f88b9dd54468,False,TUZLA SPOR,2,1,Erling,Haaland,HUSEYIN,2,1729003372,92,Galibiyet
0xa086f88b9dd495e0,False,TUZLA SPOR,3,2,Cristiano,Ronaldo,HUSEYIN,2,1729002982,92,Galibiyet
0xa086f88b9dce28d2,False,Dream FC,1,1,Antonio,Rüdiger,HUSEYIN YUCEL,0,1728999138,72,Beraberlik
0xa086f88b9db4ebc9,False,GALATASARAY,1,2,Kylian,Mbappé,FATIH TERIM,0,1728980719,93,Mağlubiyet
0xa086f88b9db46d4f,False,MANCHESTER CITY,0,0,,Ederson,DOMINATE,0,1728980262,96,Beraberlik
0xa086f88b9db38873,True,DEVATA,4,1,Andrew,Robertson,KLOOP,0,1728979426,92,Galibiyet
0xa086f88b9db2f9db,True,ETHIOPIAN LIVERPOOL,3,2,Lionel,Messi,AMUKI,0,1728978897,94,Galibiyet
0xa086f88b9db28c4a,True,BARSELONA,3,0,Victor,Osimhen,SANJAR,0,1728978488,90,Galibiyet
0xa086f88b9db208f9,True,HAKU F C,4,3,Cristiano,Ronaldo,SALAH,0,1728977994,91,Galibiyet
0xa086f88b9db19778,True,Dream FC,2,1,Virgil,van Dijk,SCALONI,0,1728977559,97,Galibiyet
0xa086f88b9d79f51b,True,REAL MADRID,1,3,Kevin,De Bruyne,RAFIK,0,1728930636,93,Mağlubiyet
0xa086f88b9d678b5b,True,GALATASARAY,2,1,Cristiano,Ronaldo,ALI HAYDAR,0,1728921653,92,Galibiyet
0xa086f88b9d6769ae,False,FENERBAHCE,0,1,Cristiano,Ronaldo,UGUR,0,1728921594,9,Mağlubiyet
0xa086f88b9d6693e9,True,KARBALA,3,2,Andrew,Robertson,ALI,0,1728921194,91,Galibiyet
0xa086f88b9d65b83f,False,LIVERPOOL,2,1,Diogo,Jota,ARNE SLOT,0,1728920784,92,Galibiyet
0xa086f88b9d65631a,True,METALLIST FC,3,0,Jonathan,David,PETROVICH,0,1728920629,24,Galibiyet
0xa086f88b9d64fad7,False,DSC ARMINIA BIELEFELD,1,3,Vinícius,Júnior,GERRY MC FLERRY,0,1728920433,48,Mağlubiyet
0xa086f88b9d41f273,False,Dream FC,0,1,Virgil,van Dijk,ALI,0,1728896888,92,Mağlubiyet
0xa086f88b9d4171d5,False,NASAF UZBEKISTAN,1,2,Thibaut,Courtois,RIVOJ QARSHI,0,1728896314,90,Mağlubiyet
0xa086f88b9d4111b2,False,REAL MADRID,1,3,Virgil,van Dijk,ABDULAZIZ 008,0,1728895876,93,Mağlubiyet
0xa086f88b9d40f41b,False,ACH,1,2,Dominik,Szoboszlai,AHED,0,1728895744,25,Mağlubiyet
0xa086f88b9d1432b0,True,Dream FC,2,2,Victor,Osimhen,MHMD DAHI,0,1728844917,93,Beraberlik
0xa086f88b9d0ed68e,False,HERMASAND SIBIU ROMANIA,1,4,Victor,Osimhen,HAGI,0,1728841324,91,Mağlubiyet
0xa086f88b9d0e4c82,False,Dream FC,2,2,Harry,Kane,FURKAN,0,1728840967,92,Beraberlik
0xa086f88b9d0daca6,False,TUN,2,4,Cristiano,Ronaldo,BAYARI,0,1728840558,88,Mağlubiyet
0xa086f88b9d0d0113,False,ALAHLY FC,1,3,Mohamed,Salah,GEME,0,1728840120,92,Mağlubiyet
0xa086f88b9d0c59f1,True,ASC SANTOS,3,0,Cristiano,Ronaldo,DIABATE,0,1728839693,46,Galibiyet
0xa086f88b9ce5039b,False,Dream FC,0,2,Cristiano,Ronaldo,ESLAM AHMED ,0,1728811264,90,Mağlubiyet
0xa086f88b9ce48c1f,False,SARAYQORGON,3,4,Vinícius,Júnior,ABDUMANNON,0,1728810832,94,Mağlubiyet
0xa086f88b9ce42389,True,REAL MADRID,2,3,Cristiano,Ronaldo,OZODCEK,0,1728810451,92,Mağlubiyet
0xa086f88b9ce3d144,False,BUSHI,0,3,Jonathan,David,DORI,0,1728810151,70,Mağlubiyet
0xa086f88b9cc4b837,False,SIMARIK FC,1,2,Vinícius,Júnior,HASANSIO,0,1728773884,99,Mağlubiyet
0xa086f88b9cc4463c,False,STARLIFE,2,3,Mohamed,Salah,YOUNG,0,1728773480,94,Mağlubiyet
0xa086f88b9ca909a8,False,BARCELONA,1,3,Cristiano,Ronaldo,FLICK,0,1728754956,90,Mağlubiyet
0xa086f88b9ca84dd8,False,CEMOOOO,2,2,Ciro,Immobile,TGTGHSENOL GUNES,0,1728754536,91,Beraberlik
0xa086f88b9ca68c30,False,DATO,2,1,Robert,Lewandowski,DATO,0,1728753545,98,Galibiyet
0xa086f88b9c97ee8c,True,REAL HUNCHO,1,1,Cristiano,Ronaldo,HUNCHO,0,1728745379,92,Beraberlik
0xa086f88b9c976243,False,BALL BELL,0,3,Vinícius,Júnior,BALL BALL,0,1728745063,81,Mağlubiyet
0xa086f88b9c96b62b,True,BAKU FC,2,2,Kylian,Mbappé,RAKIP,0,1728744675,92,Beraberlik
0xa086f88b9c95f27c,True,Dream FC,4,3,Kylian,Mbappé,RAKIP,0,1728744235,93,Galibiyet
0xa086f88b9c75d26f,False,Dream FC,2,2,Erling,Haaland,XZFS,0,1728721963,93,Beraberlik
0xa086f88b9c757b7c,False,Dream FC,3,0,Kylian,Mbappé,MANAGER,0,1728721670,63,Galibiyet
0xa086f88b9c2393bc,True,DINOFOZZ,4,1,,Ederson,ANDRE,0,1728656276,92,Galibiyet
0xa086f88b9c23635b,False,FC ANOUAR,0,2,Cristiano,Ronaldo,MUNIR,0,1728656166,24,Mağlubiyet
0xa086f88b9bff8cc1,False,AC ELITE MADESU,2,1,Kevin,De Bruyne,GUYGUY,0,1728629967,90,Galibiyet
0xa086f88b9bd04990,False,YASEMIN,2,2,Vinícius,Júnior,YASEMIN,0,1728587221,91,Beraberlik
0xa086f88b9bcfa548,False,ALLALI FC,3,1,Kylian,Mbappé,QUELMAN,0,1728586831,92,Galibiyet
0xa086f88b9bc7c8bc,True,ASDAY,2,4,Cristiano,Ronaldo,DAISY,0,1728582255,84,Mağlubiyet
0xa086f88b9bc6fe40,False,FENERBAHCE,2,4,Victor,Osimhen,JOSE MOURIHOO,0,1728581802,93,Mağlubiyet
0xa086f88b9bc642ed,False,QARABAG,1,1,Antonio,Rüdiger,QARABAG,0,1728581396,92,Beraberlik
0xa086f88b9bad27a7,True,GALATASARAY,3,3,Vinícius,Júnior,BURHAN,0,1728567126,92,Beraberlik
0xa086f88b9bac377d,True,TAJIKISTAN,4,1,Vinícius,Júnior,ROMA,0,1728566561,68,Galibiyet
0xa086f88b9bab9f0e,False,GALATASARAY,1,1,Erling,Haaland,MEHMET,0,1728566198,91,Beraberlik
0xa086f88b9baa02e5,True,Dream FC,2,0,Mohamed,Salah,GIO,0,1728565206,61,Galibiyet
0xa086f88b9ba9b369,True,ADANA DEMIRSPOR,3,0,Vinícius,Júnior,OKAN KOKDAG,0,1728565011,36,Galibiyet
0xa086f88b9ba8f1d7,False,Dream FC,0,3,Dominik,Szoboszlai,BRETA,0,1728564540,93,Mağlubiyet
0xa086f88b9b925cc5,True,Dream FC,2,2,Mohamed,Salah,NIKUSHA,0,1728548232,94,Beraberlik
0xa086f88b9b91d4f4,True,MAN CITY,2,1,Virgil,van Dijk,JOE,0,1728547788,91,Galibiyet
0xa086f88b9b915cf5,True,RATPI,2,3,Cristiano,Ronaldo,SAM,0,1728547382,96,Mağlubiyet
0xa086f88b9b8bfe33,False,VIKING FC,0,0,Victor,Osimhen,AZEEZ,0,1728542557,2,Beraberlik
0xa086f88b9b1add79,False,RDEVILS,2,2,Virgil,van Dijk,HUNGARY,0,1728457448,92,Beraberlik
0xa086f88b9b1a9088,False,REAL MADRID,2,2,Kylian,Mbappé,ZJDN,0,1728457059,92,Beraberlik
0xa086f88b9b1a41f5,True,ALG,1,2,Kylian,Mbappé,RAMZI HELIMI,0,1728456662,92,Mağlubiyet
0xa086f88b9acf7148,True,GALATASARAY,3,3,Antoine,Griezmann,OKAN BURUK,0,1728389480,91,Beraberlik
0xa086f88b9aceea9a,True,ALBANIA KING,3,1,Vinícius,Júnior,XHULJANA,0,1728389038,97,Galibiyet
0xa086f88b9ace79a2,False,CAIRO,1,0,John,Stones,WARRIOR,0,1728388656,93,Galibiyet
0xa086f88b9ac2406a,True,ALBANIA,1,1,Martin,Ødegaard,ADI,0,1728376380,91,Beraberlik
0xa086f88b9ac1d8f8,False,0797915200 REMATCH,1,2,Federico,Valverde,TA MSORORO,0,1728375895,95,Mağlubiyet
0xa086f88b9ac1b561,True,LY218,4,0,Vinícius,Júnior,HMAD,0,1728375727,35,Galibiyet
0xa086f88b9ac13978,True,KURD MADRID,4,2,Virgil,van Dijk,VAN MOURINHO,0,1728375136,93,Galibiyet
0xa086f88b9ac0e9c1,False,AZERBAYCAN FK,0,1,Virgil,van Dijk,QURBAN QURBANOV,0,1728374757,92,Mağlubiyet
0xa086f88b9a953730,False,MARSEILLE,2,1,Rafa,Silva,ALI,1342,1728328214,91,Galibiyet
0xa086f88b9a946b05,False,MARSEILLE,1,4,Ángel,Di María,ARIS,1342,1728327711,92,Mağlubiyet
